id;uid;active;status;ad_organization_id;vendor_id;vendor_confirmation_id
1;91ea440e-5294-45c6-a9d2-0ff532905d64;true;Frozen Gen;1;1;1
2;66d6349a-a9f8-4df9-b745-d6132203011e;true;Auto Loan ;2;2;2
3;51028c4f-e9d4-486a-b8cf-0e96e77117fe;false;Wooden Upg;3;3;3
4;10ec682f-9e4d-4099-90b1-bca8d199a5b3;false;SQL progra;4;4;4
5;da2e0c04-99fd-4e18-b547-11ee693cb193;true;systematic;5;5;5
6;e8923845-8195-49b8-a278-1d8e4a7d5cd1;false;Industrial;6;6;6
7;ce4a689e-c953-4877-b1c0-f46f563ceb99;true;pink;7;7;7
8;dfd91a17-f729-4df2-b12f-01ea755117e0;false;Fork Fanta;8;8;8
9;51895890-a419-4d6b-a542-88c343b84c44;false;Avon Orche;9;9;9
10;3d8f55a8-063e-4d03-88ee-4fe82bc78f98;false;invoice;10;10;10
