id;score;remark;uid;active;ad_organization_id;vendor_evaluation_id;evaluation_line_id
1;56960;South Dakota;00944fbb-e5f4-4c5e-bec5-dba3e2514b26;false;1;1;1
2;98118;leading-edge;7793623b-ab01-4f20-a144-877fea72516f;false;2;2;2
3;28201;salmon program Handcrafted;8c158611-67e3-4497-80fe-5697dd68920e;false;3;3;3
4;49439;Intelligent Concrete Chips Garden;8387e5c8-2087-44cb-9015-8fcd949d5e67;false;4;4;4
5;5460;Baby Fantastic Concrete Keyboard Avon;2d308c5b-56d4-463f-941f-c0d909243087;true;5;5;5
6;47250;violet Soap navigate;4b11fb42-7d6c-4e93-8e35-aa8518424e17;false;6;6;6
7;14288;Cotton Tennessee;05c5b54d-0cba-4e86-8dd4-f4ee4e6071f2;true;7;7;7
8;26410;navigate Communications;00bda640-b32a-4442-b51b-9304d7eba1a7;false;8;8;8
9;68806;Shoes;6dcfdf11-f6f8-4467-b905-9bad4c32e271;false;9;9;9
10;74800;Street;9dcd8801-d0a1-4be0-b573-468df503a283;false;10;10;10
