id;uid;active;bidding_id;ad_organization_id;evaluation_method_id
1;b4e24942-8e42-401c-bbd8-d1308b6d0048;false;1;1;1
2;6ee658c0-68d5-41bf-be0f-2b9ffa2a58bf;true;2;2;2
3;a481572e-5786-4424-9188-8083d335f727;false;3;3;3
4;b35b532f-9b3e-47f5-857b-42367ba3ca85;true;4;4;4
5;1e211d80-6abb-43ce-b1c6-c8360b9bcecc;false;5;5;5
6;2d555568-4d68-4f30-989d-d5039bc3c634;true;6;6;6
7;e83986c4-15a4-4a0a-9e98-b70be737a83b;true;7;7;7
8;191975a4-2b13-4e53-8674-0361f6a8e4b6;true;8;8;8
9;f5d08eae-c2c5-4899-a6f8-f5c88c52765d;false;9;9;9
10;ea2bd2ca-8265-4ae4-a143-ca367e9743e7;false;10;10;10
