id;requirement;uid;active;ad_organization_id
1;Enhanced Berkshire Web;da43a5d9-63f3-4f04-b2ce-11a2255a9ff3;false;1
2;Planner;49a00be7-4ef4-46e3-be4b-0d20f2e0d8c9;false;2
3;functionalities;d8cb97dd-b159-4603-a437-74adac24e374;false;3
4;Mobility Republic of Korea;5581df46-4104-4952-bba1-b722845ba885;true;4
5;input Refined Metal Car;2f8cb35e-2abe-4ccd-8f86-0d46acdc6629;true;5
6;generating Roads TCP;6d519c58-7f3c-4441-8d75-2c5b493a0a6e;false;6
7;programming;1486435c-ec36-487d-854d-02a9690b4769;true;7
8;Kyat Cambridgeshire;1b8d4c18-0eb5-4d72-9187-6e94659c93b6;true;8
9;Utah Oman;05602a86-6336-41d4-a9db-23e40b78ed94;false;9
10;French Southern Territories;75a51497-fdf1-401b-bc8b-3cd200c17a79;true;10
