id;evaluation;uid;active;ad_organization_id;evaluation_method_line_id;vendor_scoring_id
1;Operations payment framework;87e888d7-dc82-43b4-8568-f6c80ea68933;false;1;1;1
2;Russian Ruble;9e625ae8-a226-4ece-ac2e-ce518c5b8385;true;2;2;2
3;Auto Loan Account e-business portal;0efbdd81-64bf-4a81-a687-d7fedb6f1fa8;false;3;3;3
4;Optimization program;4c127b0e-0a9c-4f6a-8c33-06430ad22960;false;4;4;4
5;calculating;d126a0a3-14d3-48a5-acb4-8dad2df748d3;true;5;5;5
6;payment 1080p Multi-lateral;f0241424-395d-4e71-aaf5-0d03587b1861;true;6;6;6
7;Home Loan Account;378bdca0-811d-4c8e-b8b6-aad6ff8c464a;true;7;7;7
8;synthesizing bandwidth-monitored;5e93d05c-ed64-4c69-b89c-9e887b5ca431;true;8;8;8
9;Saint Kitts and Nevis AI;b0d7e8e9-fd2b-4316-97c7-767cbe49c01a;false;9;9;9
10;Checking Account New Mexico connecting;3dbd92de-0fc6-4220-bda8-2a4d9d4d3ee2;true;10;10;10
