id;name;description;min_columns;max_columns;uid;active;ad_organization_id
1;open-source solid st;Pizza Personal Loan Account Trail;13229;33664;6a89b27b-003c-4c4c-9a43-3bfe8e5268aa;false;1
2;turquoise Awesome St;Soft SSL Accounts;21739;40845;15d99f24-1630-4d3b-bf98-4e01b9285a18;false;2
3;Practical Fresh Chee;Savings Account Fresh;82867;38322;0880d52c-6a15-4bae-ab31-e9ed4b10765b;false;3
4;bricks-and-clicks;Director Auto Loan Account;47576;35590;39b6c44c-4aea-4a91-a7c6-12285c8143f6;true;4
5;instruction set;solid state;96585;7455;ecb5f60b-2484-48c1-9eb4-8469c6e4ac86;true;5
6;Personal Loan Accoun;interface deposit feed;66418;81131;bb6fdc28-f7e3-4f0b-be9c-fdb0c109699a;true;6
7;generate;withdrawal Officer calculating;99383;9278;43d1bd96-17d5-4967-9c7b-5e7ff22a008e;true;7
8;feed systems;calculate;72456;83370;2ade93ee-7d85-4f98-8df6-ef1826d921ee;true;8
9;pixel;Decentralized payment;62232;97992;cb630653-04e3-4a60-8fd2-d5e1441c9bbd;false;9
10;COM;clicks-and-mortar;85695;75310;5fca6912-338d-41ec-aac3-814eb024aaec;true;10
