id;name;description;column_no;row_no;type;uid;active;ad_organization_id;pa_dashboard_id
1;Manor Tunisian Dinar Small;generate Principal;56159;59477;CHART;e18358df-1950-408d-b9a9-a4b639d34751;false;1;1
2;Borders alarm;Factors Cross-platform;9949;72343;WATCHLIST;b3127264-93ff-4e59-939c-8c6b6f4a8cef;false;2;2
3;multi-byte;Credit Card Account CFA Franc BEAC;92517;18584;CHART;2e353d05-5126-467c-a887-5c34c84c5318;false;3;3
4;Kip XML Jewelery;Oklahoma;315;18034;WATCHLIST;c1b657ae-201a-4491-b185-1348117fdb7f;false;4;4
5;program;multi-byte Berkshire Sports;2061;2059;WATCHLIST;f6b3fe25-a510-4351-92fe-c184ece38bf7;false;5;5
6;Mississippi mesh;Investor Human payment;52628;3652;CUSTOM;2b583472-65a4-450b-a68d-2f4cb2d2f43c;false;6;6
7;Developer;Representative Implementation;26448;91514;WATCHLIST;209d3bc1-31a9-4579-83f6-78761d28a261;true;7;7
8;parsing Fantastic;Multi-channelled;74505;48230;WATCHLIST;69c0da49-01f2-450d-900a-0f372a4ae602;false;8;8
9;cyan global;International synthesize;76960;91443;WATCHLIST;2f363444-9d68-4ffb-925f-13900d7baf00;false;9;9
10;XML;Virginia;77702;81438;WATCHLIST;f5d8f774-2c7a-44f8-9c7e-0362ea813f8d;false;10;10
