id;column_no;row_no;uid;active;ad_organization_id;ad_user_id;pa_dashboard_item_id
1;97637;36441;45dabe10-973d-4c48-8d0b-7554b46fde71;false;1;1;1
2;35679;60027;25055041-e514-4c29-9611-a8206ec50c7d;false;2;2;2
3;59816;32223;9b7f0d9b-d92f-4dd7-a97b-5178a48f4812;true;3;3;3
4;88448;94673;05b49e51-0699-432b-b795-0beaf3a37ccb;true;4;4;4
5;40176;62832;81b326b3-9d0a-48da-a42c-ffb2236807a1;true;5;5;5
6;90360;45057;695407c9-6de1-4ca7-8a25-ce0601ec84d9;true;6;6;6
7;9441;13924;af2ca9f1-f656-4e6d-b325-abd4c2a4b5e7;true;7;7;7
8;87654;68556;a3790fb6-0314-4863-9a39-ae99b86860d2;true;8;8;8
9;38290;53623;66dc006b-76b9-4099-a085-59627cea47b5;true;9;9;9
10;27992;51721;05a7478a-74e9-409e-babf-b1aab696299d;false;10;10;10
