id;name;module;can_write
1;Savings Account;New Zealand Dollar Metal;false
2;ADP;Supervisor Euro envisioneer;false
3;withdrawal;Customer Salad;true
4;Money Market Account Heard Island and McDonald Islands Somali Shilling;Applications;false
5;synthesize e-services Streamlined;Outdoors transform bus;true
6;Virginia bluetooth;lime adapter;true
7;Home Loan Account;program Auto Loan Account grow;true
8;deposit Circle;withdrawal Guatemala sky blue;true
9;Afghanistan;open-source program;true
10;Plastic viral;Sausages Sleek Handcrafted Rubber Mouse;true
