id;name;description;value
1;Down-sized Cambridgeshire;Lodge generate;Louisiana
2;AGP;Borders;schemas
3;deposit Bedfordshire withdrawal;PCI;Salad Tokelau
4;deliverables;Buckinghamshire purple;copy cross-media online
5;payment Bedfordshire;Unbranded Granite Chair withdrawal morph;Falkland Islands (Malvinas)
6;Industrial Kansas;seize Administrator Markets;magnetic
7;networks Unbranded;client-server purple initiatives;Enhanced facilitate Security
8;Fresh Christmas Island deposit;input killer;yellow
9;backing up withdrawal Leone;markets;Pizza
10;grow array;Industrial Netherlands Versatile;Licensed Rubber Pants Self-enabling Loaf
