id;uid;active;name;description;can_write;ad_organization_id;type_id;authority_id
1;fc650c33-bb5d-4906-bfba-bc6626b4aad3;true;enable Kenyan Shilling TCP;interface;false;1;1;1
2;86c85c35-f4d8-4b55-9d9c-64690afd5b48;false;metrics;middleware;true;2;2;2
3;6720446c-1dff-4ea1-b311-b3667facb9db;false;Intelligent Granite Pizza;Keyboard Rustic;true;3;3;3
4;599e1f96-5123-41a1-a6fb-cfba6122ea83;false;Convertible Marks;Steel ivory;false;4;4;4
5;58881f16-0207-4951-806b-5c3bb0b9dbd2;true;deposit virtual feed;Research Fish Bike;true;5;5;5
6;19faea99-ab7b-4f4b-b8f2-e85c5ecb256e;false;e-tailers;Engineer Plastic;false;6;6;6
7;573cae78-c0c1-4e93-9127-cbcac0db8713;false;Washington;auxiliary;false;7;7;7
8;3ca19850-fb2e-438d-b4ec-f2ec21a89f55;true;monitor Generic Fresh Keyboard;bi-directional 24/365;true;8;8;8
9;f52a7c82-7316-469e-95ad-c15dbd5b7838;false;Global;Leone digital;true;9;9;9
10;c1451490-f9bb-43fb-9e7a-801d7762186e;false;Crescent;auxiliary;true;10;10;10
