id;uid;active;name;description;ad_organization_id
1;4a5e66c2-0b22-4f48-9929-80059fa6d504;true;complexity;payment;1
2;5f9ca87a-5bf2-4e7d-81a5-6ce1edce7501;true;Silver;Rustic Brand;2
3;5da8e2f6-3670-43f9-a61a-c82487335020;true;Developer;Italy Dobra invoice;3
4;0095ca59-c333-42cd-a54a-ba0bda45c2e6;true;Savings Ac;Incredible Frozen Chicken bypassing compress;4
5;22bb0c18-83fe-4973-bc34-1db7e2d33a91;true;strategy;backing up;5
6;44166777-aac7-4cef-a88b-f93e500afb07;false;bandwidth;Associate schemas;6
7;0225de83-dbf0-4dc3-a257-cb7f21ec65df;false;Toys Beaut;contextually-based EXE;7
8;c0c5bcaf-6730-4cd6-ab1f-408cfe5a53d9;false;Italy;cultivate orchid Principal;8
9;1f2b8c8c-bb42-4ad3-aead-068bf1d31551;true;zero defec;Borders USB Turkish Lira;9
10;ee716c5f-f6c7-4325-8261-e6e923b0e225;true;Bike olive;Frozen Baby Rupiah;10
