id;uid;active;description;master;access_all_orgs;use_user_orgs;authority_id;ad_organization_id
1;6ef44e4d-5ddc-4587-8c58-95dbbad8d6df;true;Dynamic;true;false;false;1;1
2;5a7b9b4f-1391-41be-965b-d8778d8d9f0d;false;Bedfordshire Practical;false;true;false;2;2
3;11e967cb-37ec-4c16-8851-9d317aa9dac2;false;reboot Investment Account SMTP;false;true;false;3;3
4;d7286711-e116-496a-919b-078be9c54d83;true;Rubber;false;false;false;4;4
5;db8f3484-5e2a-42c1-b6cc-2dd0b4ebc908;false;Cheese;true;true;false;5;5
6;9c369f33-3930-4c5b-9585-8ae348df4513;true;Functionality circuit interactive;false;true;true;6;6
7;d5d12698-8c92-43d0-8792-a4283b767e01;false;Turkish Lira;true;true;false;7;7
8;93b92b6d-7804-4537-acab-5002965720be;false;interactive hub compress;true;true;false;8;8
9;8c4e7441-fd76-4e3d-a60d-e02ac6814952;true;New Leu wireless;true;true;false;9;9
10;a29f2607-5da1-403c-a366-50486b26071b;false;Bedfordshire;true;false;false;10;10
