id;document_no;expiration_date;file;file_content_type;type_id
1;Accounts leading-edge Stand-alone;2020-04-03;../fake-data/blob/hipster.png;image/png;1
2;Borders synthesizing Gourde US Dollar;2020-04-02;../fake-data/blob/hipster.png;image/png;2
3;Money Market Account implement;2020-04-03;../fake-data/blob/hipster.png;image/png;3
4;circuit;2020-04-02;../fake-data/blob/hipster.png;image/png;4
5;Dynamic;2020-04-02;../fake-data/blob/hipster.png;image/png;5
6;ubiquitous;2020-04-02;../fake-data/blob/hipster.png;image/png;6
7;cross-platform ivory Computer;2020-04-03;../fake-data/blob/hipster.png;image/png;7
8;payment protocol;2020-04-03;../fake-data/blob/hipster.png;image/png;8
9;copy Small Cotton Bacon alarm;2020-04-02;../fake-data/blob/hipster.png;image/png;9
10;next-generation Salad;2020-04-02;../fake-data/blob/hipster.png;image/png;10
